"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","XY_POINT","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
16503692,"2013-08-31 23:07:30","078","BURGLARY, OTHER STRUCTURE: Unknown, Entry No Force","400 PIERRE RD","WALNUT",,"6607324.27834073,1830599.32628269","913-06132-2915","2915","06132","CA0190020","WALNUT","N"
16499474,"2013-08-31 23:45:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","42223 50TH ST W","QUARTZ HILL",,"6495899.13682094,2058887.25648374","913-15742-1182","1182","15742","CA0190024","LANCASTER","N"
16499395,"2013-09-01 00:10:00","062","BURGLARY, RESIDENCE: Night, Entry No Force","100 HIDDEN VALLEY RD","ROLLING HILLS ESTATES","90274","6453575.95821327,1746910.01236245","913-03131-1720","1720","03131","CA0190017","LOMITA","N"
16499483,"2013-09-01 00:45:00","061","BURGLARY, RESIDENCE: Night, Entry by Force","17300 TEMPLE AVE","VALINDA",,"6587502.09718464,1831529.23419976","013-09799-1441","1441","09799","CA0190014","INDUSTRY","N"
16504130,"2013-09-01 01:00:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","24900 S MAIN ST","CARSON","90745","6478044.035232,1749386.766321","913-09089-1624","1624","09089","CA0190016","CARSON","N"
16501920,"2013-09-01 01:00:00","062","BURGLARY, RESIDENCE: Night, Entry No Force","21300 ALDER DR","NEWHALL",,"6407427.04619023,1958768.50865563","913-12193-0627","0627","12193","CA0190006","SANTA CLARITA VALLEY","N"
16499648,"2013-09-01 01:14:00","072","BURGLARY, OTHER STRUCTURE: Night, Entry No Force","700 CYPRESS ST","SAN DIMAS","91773","6615436.73679524,1857248.68035716","913-04323-0816","0816","04323","CA0190008","SAN DIMAS","N"
16500020,"2013-09-01 01:30:00","062","BURGLARY, RESIDENCE: Night, Entry No Force","300 W KETTERING","LANCASTER",,"6521584.59194429,2077393.4037096","913-15772-1122","1122","15772","CA0190024","LANCASTER","N"
16500690,"2013-09-01 02:00:00","068","BURGLARY, RESIDENCE: Unknown, Entry No Force","1900 EL SEGUNDO BLVD","COMPTON","90222","6489523.53822085,1792049.94340785","913-13585-2137","2137","13585","CA01900V3","CENTURY","N"
16501025,"2013-09-01 02:02:00","071","BURGLARY, OTHER STRUCTURE: Night, Entry By Force","3500 GREENWOOD AVE","COMMERCE","90040","6522058.36914845,1814412.44723919","913-10847-0247","0247","10847","CA0190002","EAST LOS ANGELES","N"
16500029,"2013-09-01 02:37:30","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","1200 E AVENUE S","PALMDALE",,"6530209.20127195,2025042.38293387","913-12535-2603","2603","12535","CA01900W9","PALMDALE","N"
16499485,"2013-09-01 03:15:30","072","BURGLARY, OTHER STRUCTURE: Night, Entry No Force","8400 HOLLOWAY DR","WEST HOLLYWOOD","90069","6447869.34670229,1855635.4403348","913-05059-0976","0976","05059","CA0190009","WEST HOLLYWOOD","N"
16499886,"2013-09-01 03:52:30","062","BURGLARY, RESIDENCE: Night, Entry No Force","8700 W KNOLL AVE","WEST HOLLYWOOD","90069","6446428.56929286,1855214.13499261","913-05071-0977","0977","05071","CA0190009","WEST HOLLYWOOD","N"
16499506,"2013-09-01 04:15:00","068","BURGLARY, RESIDENCE: Unknown, Entry No Force","600 SKYLINE TRL","TOPANGA",,"6378182.28452587,1853391.5008426","913-05198-1035","1035","05198","CA0190022","MALIBU/LOST HILLS","N"
16499603,"2013-09-01 05:00:00","072","BURGLARY, OTHER STRUCTURE: Night, Entry No Force","18600 SOLEDAD CANYON RD","CANYON COUNTRY","91351","6422844.47013569,1974331.80358095","913-12055-0613","0613","12055","CA0190006","SANTA CLARITA VALLEY","N"
16499784,"2013-09-01 05:00:00","077","BURGLARY, OTHER STRUCTURE: Unknown, Entry By Force","8900 GARVEY AVE","ROSEMEAD","91770","6538921.50143261,1845449.12433894","913-08364-0534","0534","08364","CA0190005","TEMPLE","N"
16499618,"2013-09-01 05:30:00","067","BURGLARY, RESIDENCE: Unknown, Entry By Force","12100 163RD ST","NORWALK","90650","6539246.6861497,1780017.09477019","913-12050-0458","0458","12050","CA0190004","NORWALK","N"
16499499,"2013-09-01 05:45:00","072","BURGLARY, OTHER STRUCTURE: Night, Entry No Force","13000 VALLEY BLVD","BASSETT",,"6561364.26855487,1841550.35064043","913-09801-1462","1462","09801","CA0190014","INDUSTRY","N"
16499447,"2013-09-01 06:08:00","065","BURGLARY, RESIDENCE: Day, Entry No Force","3200 GREENGLADE AVE","PICO RIVERA","90660","6543344.84691662,1829547.2178226","913-06490-1511","1511","06490","CA0190015","PICO RIVERA","N"
16499626,"2013-09-01 08:30:00","062","BURGLARY, RESIDENCE: Night, Entry No Force","9900 BELMONT ST","BELLFLOWER",,"6524458.35352169,1780162.1984826","913-17019-1334","1334","17019","CA0190013","LAKEWOOD","N"
16499541,"2013-09-01 10:30:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","6000 PENNSWOOD AVE","LAKEWOOD","90712","6520278.0000058,1773127.12495437","913-17015-1322","1322","17015","CA0190013","LAKEWOOD","N"
16499657,"2013-09-01 11:30:00","064","BURGLARY, RESIDENCE: Day, Entry By Force","400 S HARRIS AVE","COMPTON","90220","6501493.26296905,1783417.0463036","913-11388-2846","2846","11388","CA0190042","COMPTON","N"
